Metric,Value
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.451986
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,39
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,3
design__max_fanout_violation__count__corner:max_ss_100C_1v60,0
design__max_cap_violation__count__corner:max_ss_100C_1v60,1
clock__skew__worst_hold__corner:max_ss_100C_1v60,-0.5519242996629696
clock__skew__worst_setup__corner:max_ss_100C_1v60,0.10405542000348832
timing__hold__ws__corner:max_ss_100C_1v60,0.7030001224576031
timing__setup__ws__corner:max_ss_100C_1v60,1.694716415169688
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,0.0
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,0.0
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,1.000197
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,0
timing__setup_r2r__ws__corner:max_ss_100C_1v60,Infinity
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__unannotated_net__count__corner:max_ss_100C_1v60,39
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,0
design__max_cap_violation__count__corner:max_ff_n40C_1v95,0
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-0.28486769305307896
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.10396699073707598
timing__hold__ws__corner:max_ff_n40C_1v95,0.25471592223065126
timing__setup__ws__corner:max_ff_n40C_1v95,8.525317582080733
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.254716
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,39
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,39
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:vccd0__corner:nom_tt_025C_1v80,1.79936
design_powergrid__drop__average__net:vccd0__corner:nom_tt_025C_1v80,1.79995
design_powergrid__drop__worst__net:vccd0__corner:nom_tt_025C_1v80,0.00063961
design_powergrid__voltage__worst__net:vssd0__corner:nom_tt_025C_1v80,0.000717868
design_powergrid__drop__average__net:vssd0__corner:nom_tt_025C_1v80,0.000054806
design_powergrid__drop__worst__net:vssd0__corner:nom_tt_025C_1v80,0.000717868
design_powergrid__voltage__worst,0.000717868
design_powergrid__voltage__worst__net:vccd0,1.79936
design_powergrid__drop__worst,0.000717868
design_powergrid__drop__worst__net:vccd0,0.00063961
design_powergrid__voltage__worst__net:vssd0,0.000717868
design_powergrid__drop__worst__net:vssd0,0.000717868
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.000053000000000000000778023478975597981843748129904270172119140625
ir__drop__worst,0.000640000000000000052353954504980038109351880848407745361328125
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
